GEMS.Station.Number,Sample.Date,pH,NO2N,NO3N,DRP
IND02067,2014-01-02,8.41,0.0,0.266228,0.0
IND02067,2014-01-03,8.43,0.0,0.252216,0.0
IND02067,2014-01-04,8.6,0.0,0.252216,0.0
IND02067,2014-01-05,8.45,0.0,0.252216,0.0
IND02067,2014-01-07,7.845,0.0,0.238204,0.0
IND02067,2014-01-08,7.689999999999999,0.0,0.252216,0.0
IND02067,2014-01-09,8.059999999999999,0.0,0.224192,0.0
IND02067,2014-01-10,8.16,0.0,0.238204,0.0
IND02067,2014-01-11,8.1,0.0,0.266228,0.0
IND02067,2014-01-12,8.09,0.0,0.252216,0.0
IND02067,2014-02-06,8.120000000000001,0.0,0.224192,0.0
IND02067,2015-01-01,8.0,0.0,0.252216,0.0
IND02067,2015-01-04,8.05,0.0,0.252216,0.0
IND02067,2015-01-05,7.875,0.0,0.252216,0.0
IND02067,2015-01-06,7.77,0.0,0.322276,0.0
IND02067,2015-01-07,7.855,0.0,0.238204,0.0
IND02067,2015-02-02,8.030000000000001,0.0,0.266228,0.0
IND02067,2015-02-03,8.0,0.0,0.244,0.0
IND02068,1987-06-15,8.6,0.0,0.07006,0.031002
IND02068,1987-07-01,8.3,0.0138,0.126108,0.020668
IND02068,1987-08-03,7.9,0.0,0.77066,0.072338
IND02068,1987-09-01,7.8,0.0138,0.252216,0.041336
IND02068,1987-10-05,8.3,0.0276,0.434372,0.031002
IND02068,1987-11-02,8.3,0.0138,0.49042,0.062004
IND02068,1987-12-01,8.4,0.0276,0.588504,0.031002
IND02068,1988-01-01,8.3,0.0138,0.336288,0.031002
IND02068,1988-02-01,8.2,0.0138,0.266228,0.031002
IND02068,1988-03-01,8.3,0.0,0.042036,0.020668
IND02068,1988-04-04,8.2,0.0,0.042036,0.0
IND02068,1988-05-02,8.3,0.0138,0.028024,0.010334
IND02068,1988-06-01,8.4,0.0,0.084072,0.010334
IND02068,1988-07-01,7.8,0.069,0.042036,0.041336
IND02068,1988-08-01,8.4,0.0,0.49042,0.05167
IND02068,1988-09-05,8.1,0.0,0.252216,0.0
IND02068,1988-10-03,8.3,0.0,0.588504,0.0
IND02068,1988-11-01,7.3,0.0138,0.406348,0.0
IND02068,1988-12-01,8.3,0.0138,0.378324,0.0
IND02068,1989-01-02,8.4,0.0138,0.084072,0.031002
IND02068,1989-02-01,8.52,0.0,0.042036,0.0
IND02068,1989-03-01,8.12,0.0,0.07006,0.0
IND02068,1989-04-03,8.3,0.0,0.042036,0.041336
IND02068,1989-05-01,8.4,0.0138,0.28024,0.031002
IND02068,1989-06-01,8.3,0.0,0.028024,0.020668
IND02068,1989-07-03,7.7,0.0276,0.406348,0.062004
IND02068,1989-08-01,8.1,0.0138,0.588504,0.041336
IND02068,1989-09-01,7.8,0.0276,0.476408,0.041336
IND02068,1989-10-03,8.4,0.0138,0.154132,0.020668
IND02068,1989-11-01,8.4,0.0138,0.154132,0.020668
IND02068,1989-12-15,8.4,0.0276,1.12096,0.041336
IND02068,1990-01-01,8.2,0.0,0.042036,0.031002
IND02068,1990-02-01,8.2,0.0,0.112096,0.031002
IND02068,1990-03-01,6.5,0.0,0.042036,0.0
IND02068,1990-04-02,8.0,0.0276,0.028024,0.041336
IND02068,1990-05-02,8.2,0.1242,0.0,0.010334
IND02068,1990-06-01,8.2,0.0,0.154132,0.041336
IND02068,1990-07-02,7.8,0.0,0.672576,0.05167
IND02068,1990-08-03,7.5,0.0276,0.546468,0.041336
IND02068,1990-09-03,8.1,0.0138,0.434372,0.010334
IND02068,1990-10-04,7.9,0.0,0.322276,0.05167
IND02068,1990-11-06,7.8,0.0138,0.448384,0.15501
IND02068,1990-12-03,8.1,0.0138,0.952816,0.010334
IND02068,1991-01-01,8.2,0.0,0.028024,0.010334
IND02068,1991-02-01,8.3,0.0276,0.196168,0.020668
IND02068,1991-03-04,7.6,0.0276,0.364312,0.020668
IND02068,1991-04-01,7.9,0.0,0.07006,0.010334
IND02068,1991-05-01,8.0,0.0138,0.07006,0.010334
IND02068,1991-06-03,7.9,0.0138,0.154132,0.0
IND02068,1991-07-01,7.9,0.0276,1.02288,0.062004
IND02068,1991-08-01,7.5,0.0,0.252216,0.0
IND02068,1991-09-03,7.8,0.0276,0.07006,0.0
IND02068,1991-10-03,8.0,0.0138,0.14012,0.010334
IND02068,1991-11-01,8.3,0.0276,0.14012,0.031002
IND02068,1991-12-02,8.3,0.0276,0.0,0.0
IND02068,1992-01-01,8.2,0.0138,0.0,0.093006
IND02068,1992-02-03,8.4,0.0138,0.07006,0.041336
IND02068,1992-03-02,8.2,0.0138,0.028024,0.010334
IND02068,1992-04-01,8.3,0.0138,0.07006,0.010334
IND02068,1992-05-01,8.3,0.0138,0.028024,0.010334
IND02068,1992-06-01,8.2,0.0138,0.028024,0.041336
IND02068,1992-07-01,8.3,0.0138,0.42036,0.010334
IND02068,1992-08-03,7.8,0.0276,1.62539,0.010334
IND02068,1992-09-01,7.7,0.0,0.476408,0.010334
IND02068,1992-10-07,8.3,0.0,0.658564,0.010334
IND02068,1992-11-02,8.2,0.0138,0.028024,0.010334
IND02068,1992-12-01,8.0,0.0,0.658564,0.010334
IND02068,1993-01-01,8.1,0.0,0.588504,0.031002
IND02068,1993-02-01,8.2,0.0276,0.182156,0.010334
IND02068,1993-03-01,8.2,0.0,0.028024,0.0
IND02068,1993-04-01,8.1,0.0138,0.182156,0.020668
IND02068,1993-05-03,8.2,0.0138,0.0,0.010334
IND02068,1993-06-03,8.2,0.0276,0.182156,0.020668
IND02068,1993-07-02,8.3,0.0828,0.658564,0.010334
IND02068,1993-08-02,8.2,0.0966,0.91078,0.010334
IND02068,1993-09-01,8.3,0.0,0.154132,0.0
IND02068,1993-10-04,8.2,0.1656,0.854732,0.299686
IND02068,1993-11-01,8.1,0.0138,0.042036,0.010334
IND02068,1993-12-01,8.2,0.0138,0.406348,0.020668
IND02068,1994-01-03,8.3,0.0,0.49042,0.0
IND02068,1994-02-01,8.2,0.0,0.028024,0.010334
IND02068,1994-03-01,8.4,0.0,0.028024,0.010334
IND02068,1994-04-04,8.4,0.0,0.56048,0.010334
IND02068,1994-05-02,8.0,0.0,0.084072,0.020668
IND02068,1994-06-01,8.5,0.0,0.084072,0.0
IND02068,1994-07-01,7.9,0.0138,0.378324,0.031002
IND02068,1994-08-01,8.3,0.0138,0.112096,0.010334
IND02068,1994-09-01,8.0,0.0,0.154132,0.020668
IND02068,1994-10-03,8.2,0.0138,1.03689,0.010334
IND02068,1994-11-01,8.2,0.0138,1.31713,0.010334
IND02068,1994-12-01,8.2,0.0,0.224192,0.010334
IND02068,1995-01-02,8.3,0.0,0.042036,0.031002
IND02068,1995-02-01,8.2,0.0,0.924792,0.020668
IND02068,1995-03-01,8.2,0.0138,0.07006,0.010334
IND02068,1995-04-03,7.8,0.0966,0.924792,0.0
IND02068,1995-05-01,8.2,0.0138,0.91078,0.010334
IND02068,1995-06-01,8.2,0.0,0.0,0.010334
IND02068,1995-07-03,8.1,0.0,0.448384,0.020668
IND02068,1995-08-01,7.9,0.0138,0.406348,0.082672
IND02068,1995-09-04,8.3,0.0,0.728624,0.010334
IND02068,1995-10-04,8.1,0.0138,1.72348,0.010334
IND02068,1995-11-01,8.5,0.0138,1.35916,0.05167
IND02068,1995-12-01,8.4,0.0,0.518444,0.010334
IND02068,1996-01-01,8.2,0.0138,0.21018,0.020668
IND02068,1996-02-01,8.4,0.0138,0.294252,0.020668
IND02068,1996-03-01,8.4,0.0138,0.182156,0.020668
IND02068,1996-04-02,8.3,0.0138,0.042036,0.010334
IND02068,1996-05-06,8.5,0.0138,0.546468,0.010334
IND02068,1996-06-03,8.4,0.0138,0.224192,0.010334
IND02068,1996-07-01,8.1,0.0138,0.266228,0.010334
IND02068,1996-08-01,8.2,0.0,1.06491,0.041336
IND02068,1996-09-02,8.0,0.0,0.63054,0.072338
IND02068,1996-10-03,8.2,0.0,0.728624,0.041336
IND02068,1996-11-01,8.3,0.0,0.028024,0.010334
IND02068,1996-12-02,8.4,0.0,0.042036,0.010334
IND02068,1997-01-01,7.6,0.0,0.028024,0.020668
IND02068,1997-02-03,8.1,0.0138,0.028024,0.010334
IND02068,1997-03-03,8.3,0.0276,0.028024,0.0
IND02068,1997-05-01,8.5,0.0138,0.112096,0.010334
IND02068,1997-07-01,8.2,0.1794,0.168144,0.031002
IND02068,1997-08-01,8.2,0.0276,0.28024,0.031002
IND02068,1997-09-01,8.1,0.0,0.112096,0.010334
IND02068,1997-10-03,8.4,0.138,0.868744,0.031002
IND02068,1997-11-03,7.9,0.0,0.588504,0.031002
IND02068,1997-12-01,8.2,0.0828,0.588504,0.010334
IND02068,1998-01-01,8.1,0.0276,0.77066,0.041336
IND02068,1998-02-02,8.4,0.0,1.72348,0.041336
IND02068,1998-03-02,8.2,0.0,0.112096,0.010334
IND02068,1998-05-01,8.3,0.0,0.266228,0.020668
IND02068,1998-06-01,8.2,0.0138,0.252216,0.010334
IND02068,1998-07-01,8.2,0.0276,0.854732,0.082672
IND02068,1998-08-03,8.5,0.0,0.7006,0.041336
IND02068,1998-09-01,8.22,0.0138,0.728624,0.144676
IND02068,1998-10-05,8.3,0.0,0.252216,0.010334
IND02068,1998-11-02,7.92,0.0552,0.966828,0.062004
IND02068,1998-12-01,8.38,0.0,0.028024,0.020668
IND02068,1999-01-01,8.22,0.0,0.0,0.020668
IND02068,1999-02-01,8.38,0.0,0.084072,0.010334
IND02068,1999-03-03,8.3,0.552,0.56048,0.062004
IND02068,1999-04-05,8.3,0.0276,0.0,0.0
IND02068,1999-05-03,8.3,0.0138,0.056048,0.0
IND02068,1999-07-01,8.34,0.0276,0.126108,0.041336
IND02068,1999-08-02,8.07,0.0414,0.392336,0.041336
IND02068,1999-09-01,7.95,0.0552,0.77066,0.082672
IND02068,1999-10-04,7.84,0.0138,0.28024,0.072338
IND02068,1999-11-01,8.3,0.0,1.52731,0.031002
IND02068,1999-12-01,8.32,0.0138,0.504432,0.020668
IND02068,2000-01-03,8.0,0.0138,0.028024,0.010334
IND02068,2000-02-01,8.23,0.0,0.014012,0.010334
IND02068,2000-03-01,8.34,0.0,0.3503,0.0
IND02068,2000-04-03,8.19,0.0138,0.098084,0.0
IND02068,2000-05-01,8.32,0.0,0.042036,0.031002
IND02068,2000-06-01,8.32,0.0,0.196168,0.0
IND02068,2000-07-03,7.9,0.0138,0.714612,0.020668
IND02068,2000-08-01,8.03,0.0,0.756648,0.072338
IND02068,2000-09-04,8.02,0.0276,3.75522,0.10334
IND02068,2000-10-03,7.58,0.0138,0.07006,0.020668
IND02068,2000-12-01,8.23,0.0138,0.084072,0.010334
IND02068,2001-01-01,8.24,0.0138,0.028024,0.0
IND02068,2001-02-01,8.04,0.0138,0.294252,0.0
IND02068,2001-03-01,8.11,0.0138,0.0,0.0
IND02068,2001-04-03,8.25,0.0,0.63054,0.010334
IND02068,2001-08-01,7.53,0.0414,0.266228,0.020668
IND02068,2001-09-03,8.0,0.0138,0.798684,0.093006
IND02068,2001-10-03,8.31,0.0276,0.63054,0.093006
IND02068,2001-11-01,8.21,0.0276,0.546468,0.093006
IND02068,2001-12-03,8.4,0.0276,0.882756,0.041336
IND02068,2002-01-01,8.42,0.1794,0.518444,0.031002
IND02068,2002-02-01,8.42,0.0966,0.336288,0.031002
IND02068,2002-03-01,8.33,0.2208,0.434372,0.031002
IND02068,2002-04-01,7.89,0.0138,0.588504,0.010334
IND02068,2002-05-01,8.22,0.0138,0.378324,0.010334
IND02068,2002-06-03,8.38,0.0138,0.084072,0.010334
IND02068,2002-07-01,8.32,0.0,1.76551,0.041336
IND02068,2002-08-01,8.3,0.0414,1.06491,0.020668
IND02068,2002-09-02,7.77,0.0138,0.336288,0.010334
IND02068,2002-10-03,8.31,0.069,0.084072,0.062004
IND02068,2002-11-01,8.14,0.0552,0.728624,0.031002
IND02068,2002-12-02,8.2,0.069,0.742636,0.031002
IND02068,2003-01-01,8.35,0.0276,0.672576,0.062004
IND02068,2003-02-03,8.14,0.0138,0.364312,0.010334
IND02068,2003-03-03,8.1,0.0414,0.476408,0.062004
IND02068,2003-04-01,8.18,0.0276,0.882756,0.031002
IND02068,2003-05-01,8.34,0.0276,0.63054,0.010334
IND02068,2003-06-02,8.66,0.0276,0.336288,0.031002
IND02068,2003-07-01,8.02,0.0276,2.03174,0.010334
IND02068,2003-08-01,8.0,0.0414,1.89162,0.020668
IND02068,2003-09-01,8.14,0.0,0.84072,0.010334
IND02068,2003-10-06,8.2,0.0138,0.112096,0.05167
IND02068,2003-11-01,8.12,0.0276,0.882756,0.020668
IND02068,2003-12-02,8.09,0.0,0.658564,0.020668
IND02068,2004-01-01,8.23,0.0552,0.518444,0.020668
IND02068,2004-02-03,8.2,0.0276,0.546468,0.020668
IND02068,2004-03-03,8.38,0.0138,0.616528,0.010334
IND02068,2004-04-01,8.2,0.0138,0.616528,0.020668
IND02068,2004-05-05,8.32,0.0138,0.658564,0.010334
IND02068,2004-06-01,8.27,0.0276,0.224192,0.031002
IND02068,2004-07-01,8.14,0.0138,0.084072,0.020668
IND02068,2004-08-02,7.49,0.0138,0.224192,0.010334
IND02068,2004-09-01,7.96,0.0276,0.364312,0.010334
IND02068,2004-10-04,8.06,0.0138,0.658564,0.010334
IND02068,2004-11-01,8.1,0.0,0.63054,0.020668
IND02068,2004-12-01,8.16,0.0138,0.63054,0.020668
IND02068,2005-01-03,8.12,0.0276,0.224192,0.062004
IND02068,2005-02-02,7.76,0.0,0.224192,0.010334
IND02068,2005-03-01,8.12,0.0138,0.14012,0.05167
IND02068,2005-04-01,8.41,0.0,0.056048,0.05167
IND02068,2005-06-01,8.39,0.01,0.24,0.18
IND02068,2005-07-01,7.574999999999999,0.01,2.9,0.13
IND02068,2005-08-01,8.004999999999999,0.03,4.1,0.3
IND02068,2005-09-01,8.0,0.03,1.2,0.06
IND02068,2005-10-03,6.3100000000000005,0.0,1.4,0.14
IND02068,2005-11-02,7.824999999999999,0.03,2.7,0.12
IND02068,2005-12-02,8.015,0.12,2.0,0.07
IND02068,2006-01-02,8.3,0.04,2.2,0.21
IND02068,2006-02-01,8.315000000000001,0.0,1.4,0.18
IND02068,2006-03-01,8.31,0.045,1.8,0.13
IND02068,2006-05-01,8.1,0.0,1.4,0.09
IND02068,2006-06-01,8.39,0.02,0.6,0.22
IND02068,2006-07-03,7.83,0.22,4.7,0.24
IND02068,2006-08-01,7.78,0.05,3.0,0.25
IND02068,2006-09-01,7.74,0.36,2.9,0.11
IND02068,2006-10-03,8.32,0.01,1.28,0.05
IND02068,2006-11-01,8.68,0.05,1.2,0.08
IND02068,2006-12-01,7.53,0.0,3.2,0.01
IND02068,2007-01-02,8.31,0.02,0.3,0.1
IND02068,2007-02-01,8.3,0.02,0.01,0.01
IND02068,2007-03-01,8.57,0.99,3.3,0.27
IND02068,2007-04-02,8.41,0.01,0.8,0.32
IND02068,2007-05-03,8.3,0.06,0.23,0.08
IND02068,2007-06-01,8.4,0.0,0.34,0.05
IND02068,2007-07-02,8.43,0.16,2.7,0.2
IND02068,2007-08-01,7.48,0.19,4.2,0.42
IND02068,2007-09-05,8.24,0.001,4.8,0.13
IND02068,2007-10-03,8.1,0.0,1.5,0.15
IND02068,2007-11-01,8.38,0.01,1.32,0.1
IND02068,2007-12-03,8.38,0.02,0.4,0.07
IND02068,2008-01-01,8.38,0.2,1.0,0.46
IND02068,2008-02-01,8.6,0.01,0.01,0.11
IND02068,2008-03-03,8.39,0.13,0.086,0.02
IND02068,2008-04-01,8.1,0.056,1.2,0.46
IND02068,2008-07-01,7.54,0.02,3.42,0.108
IND02068,2008-08-01,8.0,0.06,3.3,0.18
IND02068,2008-09-01,7.84,0.0,3.0,0.154
IND02068,2008-10-03,8.0,0.0,0.94,0.15
IND02068,2008-11-03,8.31,0.0,0.84,0.03
IND02068,2008-12-01,8.54,0.0,0.6,0.072
IND02068,2009-01-01,8.68,0.06,0.76,0.222
IND02068,2009-02-02,8.36,0.084,1.52,0.442
IND02068,2009-03-02,8.39,0.002,0.654,0.056
IND02068,2009-04-01,8.34,0.016,0.497,0.048
IND02068,2009-05-01,8.0,0.0,0.098,0.041
IND02068,2009-06-01,8.5,0.018,0.01,0.682
IND02068,2009-07-01,8.3,0.0,0.083,0.01
IND02068,2009-08-03,8.31,0.014,0.756,0.196
IND02068,2009-09-01,8.02,0.008,1.5,0.3
IND02068,2009-10-05,8.37,0.01,0.97,0.315
IND02068,2009-11-03,6.6,0.0,0.3,0.221
IND02068,2009-12-01,8.06,0.016,0.3,0.24
IND02068,2010-01-01,7.98,0.018,0.45,0.232
IND02068,2010-02-01,8.0,0.016,0.464,0.225
IND02068,2010-03-02,8.68,0.003,0.391,0.302
IND02068,2010-04-05,8.2,0.01,0.355,0.258
IND02068,2010-06-01,8.96,0.027,0.266,0.01
IND02068,2010-07-01,7.73,0.007,1.1,0.224
IND02068,2010-08-02,7.7,0.012,0.982,0.203
IND02068,2010-09-03,7.77,0.022,2.178,0.452
IND02068,2010-10-04,7.65,0.049,2.02,0.44
IND02068,2010-11-01,7.7,0.052,1.911,0.351
IND02068,2010-12-01,7.95,0.06,1.597,0.428
IND02068,2011-01-03,8.41,0.005,0.196,0.018
IND02068,2011-02-01,8.42,0.0,0.307,0.091
IND02068,2011-03-01,8.54,0.0,0.398,0.172
IND02068,2011-04-01,8.05,0.041,0.139,0.262
IND02068,2011-05-02,7.97,0.001,0.045,0.148
IND02068,2011-06-01,8.32,0.001,0.205,0.135
IND02068,2011-07-01,8.01,0.119,2.738,0.298
IND02068,2011-08-01,7.75,0.047,1.574,0.116
IND02068,2011-09-02,8.08,0.005,3.598,0.372
IND02068,2011-10-03,8.36,0.009,0.758,0.036
IND02068,2011-11-01,8.35,0.001,1.824,0.167
IND02068,2011-12-01,8.4,0.256,12.199,0.144
IND02068,2012-01-02,8.36,0.067,0.862,0.235
IND02068,2012-02-01,8.18,1.099,1.802,0.521
IND02068,2012-03-01,8.44,0.013,1.662,0.016
IND02068,2012-04-02,8.01,0.051,1.434,0.572
IND02068,2012-05-01,8.15,0.056,0.189,0.035
IND02068,2012-06-01,8.26,0.054,0.061,0.157
IND02068,2012-07-02,8.84,1.297,0.465,0.007
IND02068,2012-08-01,7.82,0.034,2.412,0.062
IND02068,2012-09-03,7.9,0.201,2.864,0.057
IND02068,2012-10-03,8.09,0.015,1.429,0.062
IND02068,2012-11-02,8.05,0.2,0.853,0.065
IND02068,2012-12-03,8.04,0.003,1.538,0.068
IND02068,2013-01-01,8.07,0.004,0.747,0.093
IND02068,2013-02-01,8.3,0.008,0.76,0.083
IND02068,2013-03-01,7.73,0.003,1.817,0.08
IND02068,2013-04-01,7.99,0.002,1.161,0.022
IND02068,2013-05-01,7.72,0.015,0.408,0.516
IND02068,2013-06-03,8.2,0.002,0.091,0.34
IND02068,2013-07-01,7.93,0.101,1.107,0.321
IND02068,2013-08-01,7.72,0.013,0.984,0.066
IND02068,2013-09-02,7.7,0.095,1.3999,0.238
IND02068,2013-10-03,7.84,0.041,1.28,0.066
IND02068,2013-11-01,7.96,0.041,1.659,0.041
IND02068,2013-12-02,8.04,0.015,2.196,0.289
IND02068,2014-01-01,8.14,0.147,1.823,0.369
IND02068,2014-02-03,8.15,0.12,2.334,0.367
IND02068,2014-03-03,7.8,0.009,3.246,0.674
IND02068,2014-04-01,7.96,0.01,1.283,0.426
IND02068,2014-05-01,7.84,0.014,1.485,0.025
IND02068,2014-06-02,8.2,0.017,0.888,0.37
IND02068,2014-07-01,8.77,0.562,4.34,0.426
IND02068,2014-08-01,7.12,0.339,2.713,0.376
IND02068,2014-09-01,7.69,0.003,3.068,0.762
IND02068,2014-10-07,7.87,0.006,3.08,0.705
IND02068,2014-11-01,7.92,0.011,1.718,0.27
IND02068,2014-12-01,8.41,0.203,2.16,0.433
IND02068,2015-01-01,8.15,0.098,6.477,0.508
IND02068,2015-02-02,7.86,1.455,5.269,0.973
IND02068,2015-03-02,7.89,0.025,2.108,0.664
IND02068,2015-04-06,8.36,0.19,2.037,0.798
IND02068,2015-05-01,8.38,0.01,2.034,0.735
IND02068,2015-06-01,8.38,0.012,1.379,0.618
IND02068,2015-07-01,7.77,0.257,1.118,0.78
IND02068,2015-08-03,7.86,0.158,1.098,0.515
IND02068,2015-09-01,7.95,0.16,1.144,0.53
IND02068,2015-10-05,7.95,0.035,1.316,0.24
IND02068,2015-11-02,7.94,0.131,1.835,0.297
IND02068,2015-12-01,8.3,0.03,2.37,0.681
IND02068,2016-01-01,8.4,0.094,2.773,0.9
IND02068,2016-02-01,7.76,0.089,2.4,0.652
IND02068,2019-12-02,7.82,0.02,0.41,0.08
IND02068,2020-01-01,7.55,0.03,0.0,0.12
IND02068,2020-03-02,7.71,0.04,0.8,0.13
IND02068,2020-05-05,7.2,0.18,1.4,1.01
IND02068,2020-06-01,7.27,0.01,0.42,0.6
IND02068,2020-07-01,6.69,0.02,2.03,1.1
IND02068,2020-08-07,7.11,0.02,1.77,0.63
IND02068,2020-09-01,7.12,0.04,0.92,0.62
IND02068,2020-10-05,7.27,0.02,1.19,0.14
IND02068,2020-11-01,7.58,1.3,0.22,0.22
IND02068,2020-12-01,7.42,0.06,0.78,0.2299999999999999
IND02068,2021-01-01,7.28,0.01,3.38,0.6
IND02068,2021-02-01,7.06,0.04,4.22,0.49
IND02068,2021-03-01,7.4,0.02,3.53,0.65
IND02068,2021-04-05,7.76,0.02,2.37,0.52
IND02068,2021-06-01,7.21,0.13,5.49,0.61
IND02068,2021-06-21,7.01,0.15,9.71,0.63
IND02068,2021-07-01,6.83,0.17,9.0,0.58
IND02068,2021-07-12,7.05,0.1,6.21,0.14
IND02068,2021-07-22,7.43,0.1,5.89,0.13
IND02068,2021-08-02,7.3,0.03,6.04,0.49
IND02068,2021-08-10,7.36,0.04,5.21,0.41
IND02068,2021-08-23,7.17,0.06,5.78,0.39
IND02068,2021-09-01,7.24,0.07,2.35,0.22
IND02068,2021-09-13,7.25,0.07,0.88,0.09
IND02068,2021-09-21,7.0,0.09,0.69,0.07
IND02069,2015-01-01,8.02,0.03,7.44,0.0
IND02069,2015-10-01,7.73,0.06,6.1,0.09
IND02069,2015-11-02,7.82,0.02,12.0,0.07
IND02069,2015-12-01,8.11,0.0,11.2,0.31
IND02069,2016-01-01,7.7,0.12,6.37,0.04
IND02070,2008-08-01,6.6,0.05,0.282,0.039
IND02070,2008-10-03,6.55,0.021,0.268,0.071
IND02070,2010-08-02,6.5,0.045,0.095,0.062
IND02070,2010-10-01,6.8,0.0,0.099,0.061
IND02070,2010-12-01,6.8,0.069,0.169,0.075
IND02070,2011-06-01,6.0,0.067,0.189,0.092
IND02070,2011-08-01,6.0,0.022,0.169,0.035
IND02070,2012-06-01,7.0,0.01,0.85,0.71
IND02070,2012-08-01,6.4,0.009,1.21,0.352
IND02070,2012-10-01,6.7,0.01,2.17,0.334
IND02070,2013-06-01,6.8,0.015,0.758,0.08
IND02070,2013-08-01,6.74,0.002,0.28,0.08
IND02070,2013-10-01,6.7,0.007,0.225,0.124
IND02070,2014-02-01,7.14,0.016,0.31,0.05
IND02070,2014-04-01,6.93,0.01,0.728,0.09
IND02070,2021-06-11,6.84,0.0,0.65,0.03
IND02070,2021-06-21,6.72,0.0,0.66,0.03
IND02070,2021-07-01,6.9,0.0,0.6,0.03
IND02070,2021-07-12,7.01,0.0,0.56,0.03
IND02070,2021-07-22,6.77,0.0,0.61,0.03
IND02070,2021-08-02,6.74,0.0,0.65,0.15
IND02070,2021-08-23,6.61,0.0,0.63,0.13
IND02070,2021-09-01,7.29,0.0,0.84,0.12
IND02070,2021-09-13,7.2,0.0,0.79,0.13
IND02070,2021-09-21,6.79,0.0,0.82,0.15
IND02071,2010-10-01,7.88,0.828,3.64312,0.08
IND02071,2010-12-01,8.27,0.08,0.12,0.05
IND02071,2011-08-01,7.564999999999999,0.02,0.1,0.05
IND02071,2011-10-01,7.7,0.05,0.12,0.08
IND02071,2011-12-01,7.48,0.03,0.1,0.06
IND02071,2012-04-02,6.8,0.02,0.055,0.14
IND02071,2012-08-01,8.6,0.04,0.14,0.06
IND02071,2012-10-01,6.9,0.08,0.1,0.06
IND02071,2012-12-01,7.2,0.03,0.15,0.05
IND02073,2016-07-12,7.3,0.0,0.544,0.482
IND02073,2016-09-24,8.2,0.0,3.2636,0.165
IND02073,2021-01-01,8.309999999999999,0.18,5.2,0.48
IND02075,2008-04-01,7.54,0.00966,1.01027,0.0
IND02075,2009-06-01,8.16,0.00966,0.260623,0.0031002
IND02075,2009-08-01,7.92,0.04968,0.821103,0.025835
IND02075,2009-10-01,8.4,0.00966,0.98084,0.0
IND02075,2009-12-01,8.32,0.0,0.589905,0.0031002
IND02075,2010-02-01,7.78,0.069,2.40166,0.196346
IND02075,2010-04-01,8.01,0.00966,1.09994,0.0589038
IND02075,2010-06-02,7.98,0.00966,2.66228,0.0165344
IND02075,2010-08-02,7.92,0.00966,1.12096,0.149843
IND02075,2010-10-04,8.25,0.04968,2.8024,0.476397
IND02075,2010-12-01,7.75,0.04002,23.8204,0.0785384
IND02075,2011-02-01,7.62,0.00966,3.36288,0.0
IND02075,2011-04-04,8.41,0.0,4.2036,0.0196346
IND02075,2011-06-01,7.98,0.0828,0.518444,0.020668
IND02075,2011-08-01,7.59,0.0552,0.56048,0.010334
IND02075,2011-10-01,7.81,0.0414,0.434372,0.0
IND02075,2011-12-02,7.78,0.0,0.336288,0.0
IND02075,2012-02-01,8.77,0.0,3.3909,0.010334
IND02075,2012-04-01,8.9,0.0,10.3969,0.020668
IND02075,2012-06-04,8.06,0.0,52.0266,0.0
IND02075,2012-08-01,8.82,0.0,92.0448,0.0
IND02075,2012-10-03,8.72,0.0138,6.90792,0.082672
IND02075,2012-12-04,8.29,0.0,2.19988,0.113674
IND02075,2013-02-04,8.24,0.2208,2.1018,0.093006
IND02075,2013-04-01,8.13,0.0,2.19988,0.113674
IND02075,2021-03-03,8.37,0.15,0.0,1.29
IND02076,2020-09-29,6.48,0.05,2.0,0.04
IND02076,2020-11-09,6.43,0.34,2.0,0.04
IND02076,2020-12-04,6.49,0.0,3.0,0.04
IND02076,2021-01-01,7.14,0.0,2.0,0.06
IND02076,2021-02-02,6.65,0.0,0.2,0.03
IND02076,2021-03-01,8.01,0.0,5.0,0.08
IND02076,2021-08-02,6.49,0.02,0.72,0.02
IND02076,2021-08-11,6.565,0.01,1.22,0.01
IND02076,2021-08-23,6.565,0.02,1.47,0.01
IND02077,2008-06-01,7.8,0.01,0.28,0.08
IND02078,2009-09-01,8.01,0.0,1.87761,0.0
IND02078,2009-11-03,8.12,0.0276,2.18587,0.0
IND02078,2010-09-01,8.27,0.0138,1.41521,0.010334
IND02078,2010-11-01,8.78,0.0,1.49928,0.010334
IND02078,2015-12-01,8.1,0.0138,1.00886,0.279018
IND02080,1996-02-01,8.05,0.0138,0.812696,0.0
IND02080,1996-03-01,8.47,0.0,1.37318,0.0
IND02080,1996-04-02,7.47,0.0,0.77066,0.0
IND02080,1996-05-01,7.85,0.0276,0.812696,0.0
IND02080,1996-10-01,7.705,0.0,0.322276,0.0
IND02080,1999-01-01,8.004999999999999,0.0276,1.2891,0.010334
IND02080,1999-05-01,7.66,0.0276,0.546468,0.113674
IND02080,2001-10-01,7.619999999999999,0.0,1.26108,0.093006
IND02080,2003-06-02,7.5,0.0,4.52588,0.05167
IND02080,2004-11-01,7.8,0.0414,1.13497,0.0
IND02080,2005-05-01,8.355,0.0,0.798684,0.010334
IND02080,2005-06-01,8.56,0.0,4.52588,0.0
IND02080,2005-07-01,7.9,0.0,0.294252,0.0
IND02080,2005-08-01,8.015,0.0,4.5539,0.0
IND02080,2005-09-01,8.155,0.0,0.588504,0.0
